P250 | Metallic DDPAT (Factory New),5976151591
StatTrak™ AUG | Tom Cat (Factory New),5982175554
Five-SeveN | Angry Mob (Field-Tested),3221029220
John 'Van Healen' Kask | SWAT,4144515249
"StatTrak™ Music Kit | The Verkkars, EZ4ENCE",3235808910
StatTrak™ Desert Eagle | Blue Ply (Field-Tested),3770669107
AWP | Black Nile (Minimal Wear),5981113837
R8 Revolver | Blaze (Factory New),5982164689
SG 553 | Dragon Tech (Minimal Wear),5978625921
M4A1-S | Mud-Spec (Field-Tested),5312942817
Tec-9 | Remote Control (Factory New),5981056037
StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested),5199656215
Antwerp 2022 Contenders Autograph Capsule,4839650982
P2000 | Amber Fade (Field-Tested),5980970442
Sticker | Cloud9 | Copenhagen 2024,5980965057
Dual Berettas | Melondrama (Minimal Wear),5976155643
USP-S | Jawbreaker (Battle-Scarred),5721071761
Galil AR | Rocket Pop (Minimal Wear),1011934368
M4A1-S | Nightmare (Battle-Scarred),5955407768
PP-Bizon | Space Cat (Field-Tested),4726069414
Sticker | FaZe Clan (Holo) | Copenhagen 2024,5980977009
Trapper | Guerrilla Warfare,4578725303
AK-47 | Ice Coaled (Well-Worn),5074543135
USP-S | Ticket to Hell (Well-Worn),5957083934
P90 | Vent Rush (Minimal Wear),5980965321
Chem-Haz Capitaine | Gendarmerie Nationale,4578724254
AK-47 | Frontside Misty (Field-Tested),5980980678
"Music Kit | Denzel Curry, ULTIMATE",5199660222
M4A1-S | Black Lotus (Well-Worn),5980981207
M4A1-S | Nitro (Battle-Scarred),310781176
P90 | Vent Rush (Field-Tested),4910472910
Tec-9 | Brother (Field-Tested),5867071747
M4A4 | The Emperor (Field-Tested),3220807623
MAG-7 | Metallic DDPAT (Factory New),5980965053
MP5-SD | Kitbash (Minimal Wear),5978628807
Sticker | Cedar Creek (Holo),5980965614
USP-S | Flashback (Minimal Wear),5980965293
Crasswater The Forgotten | Guerrilla Warfare,4578724346
XM1014 | Zombie Offensive (Minimal Wear),5980969458
Dual Berettas | Hideout (Field-Tested),5721066232
Sticker | SAW (Glitter) | Copenhagen 2024,5980969548
Five-SeveN | Hybrid (Battle-Scarred),5980972645
MAG-7 | Monster Call (Field-Tested),5982105391
Five-SeveN | Boost Protocol (Field-Tested),5971017214
AWP | Black Nile (Field-Tested),5982353854
P250 | Franklin (Minimal Wear),469480270
M4A4 | Evil Daimyo (Field-Tested),5980976790
2020 RMR Contenders,4405453116
Sawed-Off | Kiss♥Love (Field-Tested),4910475895
P90 | Neoqueen (Field-Tested),5971003113
Sticker | KOI (Gold) | Copenhagen 2024,5980979626
AWP | Exoskeleton (Field-Tested),5980990562
StatTrak™ AWP | Mortis (Field-Tested),2735765448
AWP | Black Nile (Factory New),5312942944
Sticker | Flash Gaming | Boston 2018,2677448093
AWP | Chromatic Aberration (Battle-Scarred),5980968855
UMP-45 | Carbon Fiber (Factory New),469444104
USP-S | Ticket to Hell (Factory New),5980973686
PP-Bizon | Space Cat (Minimal Wear),4726075362
Desert Eagle | Crimson Web (Field-Tested),59Sticker | Virtus.pro (Glitter) | Copenhagen 2024,5980973764
AK-47 | Cartel (Field-Tested),5980905014
"Music Kit | KILL SCRIPT, All Night",5980967196
SG 553 | Damascus Steel (Field-Tested),310783772
Desert Eagle | Mecha Industries (Well-Worn),5399385962
AWP | Pit Viper (Field-Tested),310779688
Paris 2023 Vertigo Souvenir Package,5351640880
AK-47 | Steel Delta (Minimal Wear),5951696961
"Music Kit | Meechy Darko, Gothic Luxury",5980978574
Sticker | Virtus.Pro (Holo) | London 2018,3002910196
StatTrak™ Glock-18 | Block-18 (Field-Tested),5980970679
StatTrak™ SCAR-20 | Fragments (Minimal Wear),5199656217
P250 | Nevermore (Minimal Wear),5208727816
M4A4 | Converter (Minimal Wear),5965127130
